ID,CONST,DE ,HD+DLC,AoC,Description
407,TREE_I,Tree I,Tree I,Tree I,
408,TREE_J,Tree J,Tree J,Tree J,
409,TREE_K,Tree K,Tree K,Tree K,
410,TREE_L,Tree L,Tree L,Tree L,
411,FOREST_TREE,Tree (Oak Forest),Forest Tree,Forest Tree,
412,,Monk (Dead),Monk (Dead),CRASH,
413,"SNOWPINETREE, SNOW_PINE_TREE",Tree (Snow Pine),Snow Pine Tree,Snow Pine Tree,
414,"JUNGLETREE, JUNGLE_TREE",Tree (Jungle),Jungle Tree,Jungle Tree,
415,,Stump,Stump,Stump,
416,,Debris,Debris,Debris,
417,,Dust C,Dust C,Dust C,
418,,Henry the Lion,Henry the Lion,Henry the Lion,Hero Knight
419,,Debris B,Debris B,Debris B,
420,CANNON_GALLEON,Cannon Galleon,Cannon Galleon,Cannon Galleon,
421,,Cannon Galleon (Dead),Cannon Galleon (Dead),Cannon Galleon (Dead),
422,CAPPED_RAM,Capped Ram,Capped Ram,Capped Ram,
423,,Capped Ram (Dead),Capped Ram (Dead),Capped Ram (Dead),
424,CHARLES_MARTEL,Charles Martel,Charles Martel,Charles Martel,Hero Throwing Axeman
425,,Francisco de Orellana,Francisco de Orellana,Charles Martel (Dead),Hero Conquistador
426,HARALD_HARDRAADE,Harald Hardraade,Harald Hardraade,Harald Hardraade,Hero Berserk
427,,Gonzalo Pizarro,Gonzalo Pizarro,Harald Hardraade (Dead),Hero Conquistador
428,HROLF_THE_GANGER,Hrolf the Ganger,Hrolf the Ganger,Hrolf the Ganger,Hero Elite Berserk
429,,Frederick Barbarossa,Frederick Barbarossa,Hrolf the Ganger (Dead),Hero Teutonic Knight
430,JOAN_THE_MAID,Joan the Maid,Joan the Maid,Joan the Maid,Hero unit (unique graphic)
431,,Joan the Maid (Dead),Joan the Maid (Dead),Joan the Maid (Dead),
432,WILLIAM_WALLACE,William Wallace,William Wallace,William Wallace,
433,,William Wallace (Dead),William Wallace (Dead),William Wallace (Dead),
434,KING,King,King,King,
435,,King (Dead),King (Dead),King (Dead),
436,,OMTBO,OMTBO,OMTBO,Off Map Trading Boat; Invisible in DE
437,,Prithviraj,Prithviraj,OMTBO (Dead),Hero unit (unique graphic)
438,,STRBO,STRBO,STRBO,Boat with Junk graphics; Invisible in DE
439,,Francesco Sforza,Francesco Sforza,STRBO (Dead),Hero unit (unique graphic)
440,PETARD,Petard,Petard,Petard,
441,HUSSAR,Hussar,Hussar,Hussar,
442,GALLEON,Galleon,Galleon,Galleon,
443,,Galleon (Dead),Trireme,Trireme,
444,,Town Center (Packed),Town Center (Packed),Town Center (Packed),In DE it looks like an Ox Wagon and can unpack to build a Town Center (buggy pre-DE)
445,,Poenari Castle,Poenari Castle,Church 4,
446,,Port,Port,Port,Invisible in DE
447,,SHALW,SHALW,SHALW,Small pond; invisible in DE?
448,"SCOUT, SCOUT_CAVALRY",Scout Cavalry,Scout Cavalry,Scout Cavalry,
449,,Scout Cavalry (Dead),Scout Cavalry (Dead),Scout Cavalry (Dead),
450,"MARLIN1, GREAT_FISH_MARLIN",Great Fish (Marlin1),Great Fish (Marlin1),Great Fish (Marlin1),
451,"MARLIN2, GREAT_FISH_MARLIN2",Great Fish (Marlin2),Great Fish (Marlin2),Great Fish (Marlin2),
452,,Dolphin,Dolphin,DOLP3,Marlin1; underwater only; 200 food; oversized slection outline; invisible prior to DE
453,,Ataulf,DOLP4,DOLP4,Hero unit (unique graphic)
454,,DOLP5,DOLP5,DOLP5,Dorado; underwater only; 200 food; cannot be selected; invisible prior to DE
455,"DORADO, FISH_DORADO",Fish (Dorado),Fish (Dorado),Fish (Dorado),
456,"SALMON, FISH_SALMON",Fish (Salmon),Fish (Salmon),Fish (Salmon),
457,"TUNA, FISH_TUNA",Fish (Tuna),Fish (Tuna),Fish (Tuna),
458,"SNAPPER, FISH_SNAPPER",Fish (Snapper),Fish (Snapper),Fish (Snapper),
459,,FISH5,FISH5,FISH5,Salmon; underwater only; 200 food; tiny slection outline; invisible prior to DE
460,,WHAL1,WHAL1,WHAL1,Tuna; underwater only; 200 food; tiny slection outline; invisible prior to DE
461,,WHAL2,WHAL2,WHAL2,Snapper; underwater only; 200 food; tiny slection outline; invisible prior to DE
462,,Projectile Mangonel (Fire),Projectile Mangonel (Fire),Projectile Mangonel (Fire),
463,HOUSE_F,House,House,House,feudal age
464,HOUSE_C,House,House,House,castle age
465,HOUSE_I,House,House,House,imperial age
466,,Projectile Archer (Fire),Projectile Archer (Fire),Projectile Archer (Fire),
467,,-,CRASH,CRASH,
468,,Projectile Mangonel (Secondary Fire),Projectile Mangonel (Secondary Fire),Projectile Mangonel (Secondary Fire),
469,,Projectile Trebuchet (Fire),Projectile Trebuchet (Fire),Projectile Trebuchet (Fire),
470,,Projectile Galley (Fire),Projectile Galley (Fire),Projectile Galley (Fire),
471,,Projectile War Galley (Fire),Projectile War Galley (Fire),Projectile War Galley (Fire),
472,,Loot,Loot,CRASH,
473,TWO_HANDED_SWORDSMAN,Two-Handed Swordsman,Two-Handed Swordsman,Two-Handed Swordsman,
474,HEAVY_CAVALRY_ARCHER,Heavy Cavalry Archer,Heavy Cavalry Archer,Heavy Cavalry Archer,
475,,Projectile HAR (Fire),Projectile HAR (Fire),Projectile HAR (Fire),
476,,Projectile Harold Haraade (Fire),Projectile Harold Haraade (Fire),Projectile Harold Haraade (Fire),
477,,Projectile HAR,Projectile HAR,Projectile HAR,
478,,Projectile Harold Haraade,Projectile Harold Haraade,Projectile Harold Haraade,
479,,Packed Mangonel,Packed Mangonel,Packed Mangonel,looks like trebuchet; crashes game if unpacked
480,,Hussar (Dead),Hussar (Dead),Hussar (Dead),
481,,Town Center,Town Center,Town Center,
482,,Town Center,Town Center,Town Center,
483,,Town Center,Town Center,Town Center,
484,TOWN_CENTER_FOUNDATION_C,Town Center,Town Center,Town Center,castle age
485,,Projectile Town Center,Projectile Town Center,Projectile Town Center,
486,DLC_BEAR,Brown Bear,Bear,CRASH,Predator like wolf
487,,Gate,Gate,Gate,
488,,Fortified Gate,Fortified Gate,Fortified Gate,
489,,Bear (Dead),Bear (Dead),CRASH,
490,,Gate,Gate,Gate,
491,,Fortified Gate,Fortified Gate,Fortified Gate,
492,ARBALEST,Arbalest,Arbalest,Arbalest,
493,,Advanced Heavy Crossbowman,Advanced Heavy Crossbowman,Advanced Heavy Crossbowman,
494,,Camel Rider (Dead),Camel Rider (Dead),Camel Rider (Dead),
495,,Heavy Camel Rider (Dead),Heavy Camel Rider (Dead),Heavy Camel Rider (Dead),
496,,Arbalest (Dead),Arbalest (Dead),Arbalest (Dead),
497,,King (Dead),King (Dead),King (Dead),western
498,BARRACKS_F,Barracks,Barracks,Barracks,feudal; cannot train units
499,TORCH,Torch A,Torch A,Torch A,
500,,Two Handed Swordsman (Dead),Two Handed Swordsman (Dead),Two Handed Swordsman (Dead),
501,,Pikeman (Dead),Pikeman (Dead),Pikeman (Dead),
502,,Halberdier (Dead),Halberdier (Dead),Halberdier (Dead),
503,,Projectile Watch Tower,Projectile Watch Tower,Projectile Watch Tower,
504,,Projectile Guard Tower,Projectile Guard Tower,Projectile Guard Tower,
505,,Projectile Keep,Projectile Keep,Projectile Keep,
506,,Projectile Bombard Tower,Projectile Bombard Tower,Projectile Bombard Tower,
507,,Projectile Arbalest,Projectile Arbalest,Projectile Arbalest,
508,,Projectile Advanced Heavy Crossbowman,Projectile Advanced Heavy Crossbowman,Projectile Advanced Heavy Crossbowman,spear
509,,Projectile Villager,Projectile Villager,Projectile Villager,
510,,Projectile Chu Ko Nu,Projectile Chu Ko Nu,Projectile Chu Ko Nu,
511,,Projectile Longbowman,Projectile Longbowman,Projectile Longbowman,
512,,Projectile Longboat,Projectile Longboat,Projectile Longboat,
513,,Projectile MSU,Projectile MSU,Projectile MSU,rock
514,,Projectile MPC,Projectile MPC,Projectile MPC,arrow
515,,Projectile Axeman,Projectile Axeman,Projectile Axeman,
516,,Projectile Watch Tower (Fire),Projectile Watch Tower (Fire),Projectile Watch Tower (Fire),
517,,Projectile Gaurd Tower (Fire),Projectile Gaurd Tower (Fire),Projectile Gaurd Tower (Fire),
518,,Projectile Keep (Fire),Projectile Keep (Fire),Projectile Keep (Fire),
519,,Projectile Arbalest (Fire),Projectile Arbalest (Fire),Projectile Arbalest (Fire),
520,,Projectile Heavy Crossbowman (Fire),Projectile Heavy Crossbowman (Fire),Projectile Heavy Crossbowman (Fire),spear
521,,Projectile Villager (Fire),Projectile Villager (Fire),Projectile Villager (Fire),
522,,Projectile Cho Ko Nu (Fire),Projectile Cho Ko Nu (Fire),Projectile Cho Ko Nu (Fire),
523,,Projectile Longbowman (Fire),Projectile Longbowman (Fire),Projectile Longbowman (Fire),
524,,Projectile Longboat (Fire),Projectile Longboat (Fire),Projectile Longboat (Fire),
525,,Projectile MPC (Fire),Projectile MPC (Fire),Projectile MPC (Fire),
526,,Projectile MSU (Fire),Projectile MSU (Fire),Projectile MSU (Fire),
527,DEMOLITION_SHIP,Demolition Ship,Demolition Ship,Demolition Ship,
528,HEAVY_DEMOLITION_SHIP,Heavy Demolition Ship,Heavy Demolition Ship,Heavy Demolition Ship,
529,FIRE_SHIP,Fire Ship,Fire Ship,Fire Ship,
530,ELITE_LONGBOWMAN,Elite Longbowman,Elite Longbowman,Elite Longbowman,
531,ELITE_THROWING_AXEMAN,Elite Throwing Axeman,Elite Throwing Axeman,Elite Throwing Axeman,
532,FAST_FIRE_SHIP,Fast Fire Ship,Fast Fire Ship,Fast Fire Ship,
533,ELITE_LONGBOAT,Elite Longboat,Elite Longboat,Elite Longboat,
534,ELITE_WOAD_RAIDER,Elite Woad Raider,Elite Woad Raider,Elite Woad Raider,
535,,BDGAL,BDGAL,BDGAL,boarding galley
536,,ABGAL,ABGAL,ABGAL,advanced boarding galley
537,,Projectile FRG,Projectile FRG,Projectile FRG,
538,,Projectile HFG,Projectile HFG,Projectile HFG,
539,GALLEY,Galley,Galley,Galley,
540,,Projectile Galley,Projectile Galley,Projectile Galley,
541,,Projectile Galley (Fire),Projectile Galley (Fire),Projectile Galley (Fire),
542,HEAVY_SCORPION,Heavy Scorpion,Heavy Scorpion,Heavy Scorpion,
543,,Heavy Scorpion (Dead),Heavy Scorpion (Dead),Heavy Scorpion (Dead),
544,,FLDOG,FLDOG,FLDOG,wolf that moves across the map like a bird; some roations invisible in DE
545,TRANSPORT_SHIP,Transport Ship,Transport Ship,Transport Ship,
546,LIGHT_CAVALRY,Light Cavalry,Light Cavalry,Light Cavalry,
547,,Light Cavalry (Dead),Light Cavalry (Dead),Light Cavalry (Dead),
548,SIEGE_RAM,Siege Ram,Siege Ram,Siege Ram,
549,,Siege Ram (Dead),Siege Ram (Dead),Siege Ram (Dead),
550,ONAGER,Onager,Onager,Onager,
551,,Projectile Onager,Projectile Onager,Projectile Onager,
552,,Projectile Onager (Fire),Projectile Onager (Fire),Projectile Onager (Fire),
553,ELITE_CATAPHRACT,Elite Cataphract,Elite Cataphract,Elite Cataphract,
554,ELITE_TEUTONIC_KNIGHT,Elite Teutonic Knight,Elite Teutonic Knight,Elite Teutonic Knight,
555,ELITE_HUSKARL,Elite Huskarl,Elite Huskarl,Elite Huskarl,
556,ELITE_MAMELUKE,Elite Mameluke,Elite Mameluke,Elite Mameluke,
557,ELITE_JANISSARY,Elite Janissary,Elite Janissary,Elite Janissary,
558,ELITE_WAR_ELEPHANT,Elite War Elephant,Elite War Elephant,Elite War Elephant,
559,ELITE_CHU_KO_NU,Elite Chu Ko Nu,Elite Chu Ko Nu,Elite Chu Ko Nu,
560,ELITE_SAMURAI,Elite Samurai,Elite Samurai,Elite Samurai,
561,ELITE_MANGUDAI,Elite Mangudai,Elite Mangudai,Elite Mangudai,
562,LUMBER_CAMP,Lumber Camp,Lumber Camp,Lumber Camp,dark age
563,LUMBER_CAMP_F,Lumber Camp,Lumber Camp,Lumber Camp,feudal age
564,LUMBER_CAMP_C,Lumber Camp,Lumber Camp,Lumber Camp,castle age
565,LUMBER_CAMP_I,Lumber Camp,Lumber Camp,Lumber Camp,imperial age
566,,Watch Tower,Watch Tower,Watch Tower,
567,CHAMPION,Champion,Champion,Champion,
568,,Champion (Dead),Champion (Dead),Champion (Dead),
569,PALADIN,Paladin,Paladin,Paladin,
570,,Paladin (Dead),Paladin (Dead),Paladin (Dead),
571,,Raider Archer,Raider Archer,Raider Archer,"35 HP, 0 attack, 0+1000/1000 armor, 4 range"
572,,Raider Archer (Dead),Raider Archer (Dead),Raider Archer (Dead),
573,,Raider Swordsman,Raider Swordsman,Raider Swordsman,"45 HP, 0 attack,  0+1000/1000 armor"
574,,Raider Swordsman (Dead),Raider Swordsman (Dead),Raider Swordsman (Dead),
575,,Raider Cavalry,Raider Cavalry,Raider Cavalry,"75 HP, 0 attack, 0+1000/1000 armor"
576,,Raider Cavalry (Dead),Raider Cavalry (Dead),Raider Cavalry (Dead),
577,,Raider Cavalry Archer,Raider Cavalry Archer,Raider Cavalry Archer,"55 HP, 0 attack, 0+1000/1000 armor, 4 range"
578,,Raider Cavalry Archer Dead,Raider Cavalry Archer Dead,Raider Cavalry Archer Dead,
579,VILLAGER_GOLD_M,Villager Male Gold Miner,Villager Male Gold Miner,Villager Male Gold Miner,
580,,Villager Male Gold Miner (Dead),Villager Male Gold Miner (Dead),Villager Male Gold Miner (Dead),
581,VILLAGER_GOLD_F,Villager Female Gold Miner,Villager Female Gold Miner,Villager Female Gold Miner,
582,,Villager Female Gold Miner (Dead),Villager Female Gold Miner (Dead),Villager Female Gold Miner (Dead),
583,GENITOUR,Genitour,Genitour,Genitour,Militia graphics
584,MINING_CAMP,Mining Camp,Mining Camp,Mining Camp,dark age
585,MINING_CAMP_F,Mining Camp,Mining Camp,Mining Camp,feudal age
586,MINING_CAMP_C,Mining Camp,Mining Camp,Mining Camp,castle age
587,MINING_CAMP_I,Mining Camp,Mining Camp,Mining Camp,imperial age
588,SIEGE_ONAGER,Siege Onager,Siege Onager,Siege Onager,
589,,Siege Onager (Dead),Siege Onager (Dead),Siege Onager (Dead),
590,VILLAGER_SHEPHERD_F,Villager Female Shepherd,Villager Female Shepherd,Villager Female Shepherd,
591,,Villager Female Shepherd (Dead),Villager Female Shepherd (Dead),Villager Female Shepherd (Dead),
592,VILLAGER_SHEPHERD_M,Villager Male Shepherd,Villager Male Shepherd,Villager Male Shepherd,
593,,Villager Male Shepherd (Dead),Villager Male Shepherd (Dead),Villager Male Shepherd (Dead),
594,SHEEP,Sheep,Sheep,Sheep,
595,,Sheep (Dead),Sheep (Dead),Sheep (Dead),
596,ELITE_GENITOUR,Elite Genitour,Elite Genitour,Elite Genitour,militia graphics
597,TOWN_CENTER_FOUNDATION_I,Town Center,Town Center,Town Center,imperial age
598,OUTPOST,Outpost,Outpost,Outpost,
599,CATHEDRAL,Cathedral,Cathedral,Cathedral,
600,FLAG_A,Flag A,Flag A,Flag A,
601,FLAG_B,Flag B,Flag B,Flag B,
602,FLAG_C,Flag C,Flag C,Flag C,
603,FLAG_D,Flag D,Flag D,Flag D,
604,FLAG_E,Flag E,Flag E,Flag E,
605,,Bridge A--Top,Bridge A--Top,Bridge A--Top,
606,,Bridge A--Middle,Bridge A--Middle,Bridge A--Middle,
607,,Bridge A--Bottom,Bridge A--Bottom,Bridge A--Bottom,
608,,Bridge B--Top,Bridge B--Top,Bridge B--Top,
609,,Bridge B--Middle,Bridge B--Middle,Bridge B--Middle,
610,,Bridge B--Bottom,Bridge B--Bottom,Bridge B--Bottom,
611,,Town Center,Town Center,Town Center,
612,,Town Center,Town Center,Town Center,
613,,Town Center,Town Center,Town Center,
614,,Town Center,Town Center,Town Center,
615,,Town Center,Town Center,Town Center,
616,,Town Center,Town Center,Town Center,
617,TOWN_CENTER_FOUNDATION_F,Town Center,Town Center,Town Center,feudal age
618,,Town Center,Town Center,Town Center,
619,,Town Center,Town Center,Town Center,
620,,Town Center,Town Center,Town Center,
621,TOWN_CENTER_FOUNDATION,Town Center,Town Center,Town Center,
622,,Elite Genitour (Dead),Iron Boar (Dead),Iron Boar (Dead),
623,ROCK,Rock 1,Rock 1,Rock,
624,PAVILION,Pavilion A,Pavilion 1,Pavilion 1,
625,PAVILION3,Pavilion C,Pavilion 3,Pavilion 3,
626,PAVILION2,Pavilion B,Pavilion 2,Pavilion 2,
627,,Projectile Heavy Scorpion,Projectile Heavy Scorpion,Projectile Heavy Scorpion,
628,,Projectile Heavy Scorpion (Fire),Projectile Heavy Scorpion (Fire),Projectile Heavy Scorpion (Fire),
629,JOAN_OF_ARC,Joan of Arc,Joan of Arc,Joan of Arc,
630,,Joan of Arc (Dead),Joan of Arc (Dead),Joan of Arc (Dead),
631,,Subotai (Dead),Subotai (Dead),Subotai (Dead),
632,FRANKISH_PALADIN,Frankish Paladin,Frankish Paladin,Frankish Paladin,
633,,Frankish Paladin (Dead),Frankish Paladin (Dead),Frankish Paladin (Dead),
634,SIEUR_DE_METZ,Sieur de Metz,Sieur de Metz,Sieur de Metz,
635,,Burned Building,Burned Building,Sieur de Metz (Dead),
636,SIEUR_BERTRAND,Sieur Bertrand,Sieur Bertrand,Sieur Bertrand,Hero Knight
637,,Temple of Heaven,Temple of Heaven,Sieur Bertrand (Dead),
638,DUKE_D_ALENCON,Duke D'Alencon,Duke D'Alencon,Duke D'Alencon,Hero Frankish Paladin
639,DLC_PENGUIN,Penguin,Penguin,Duke D'Alencon (Dead),Cheat Unit; 16 attack; constant only defined in  DE
640,LA_HIRE,La Hire,La Hire,La Hire,Hero Champion
641,,Penguin (Dead),Penguin (Dead),La Hire (Dead),
642,LORD_DE_GRAVILLE,Lord de Graville,Lord de Graville,Lord de Graville,Hero Arbalest
643,,Lord de Graville (Dead),Lord de Graville (Dead),Lord de Graville (Dead),
644,JEAN_DE_LORRAIN,Jean de Lorrain,Jean de Lorrain,Jean de Lorrain,Hero Bombard Cannon
645,,Jean de Lorrain (Dead),Jean de Lorrain (Dead),Jean de Lorrain (Dead),
646,CONSTABLE_RICHEMONT,Constable Richemont,Constable Richemont,Constable Richemont,Hero Frankish Paladin
647,,Constable Richemont (Dead),Constable Richemont (Dead),Constable Richemont (Dead),
648,GUY_JOSSELYNE,Guy Josselyne,Guy Josselyne,Guy Josselyne,Hero Paladin
649,,Guy Josselyne (Dead),Guy Josselyne (Dead),Guy Josselyne (Dead),
650,JEAN_BUREAU,Jean Bureau,Jean Bureau,Jean Bureau,Hero Bombard Cannon
651,,Jean Bureau (Dead),Jean Bureau (Dead),Jean Bureau (Dead),
652,SIR_JOHN_FASTOLF,Sir John Fastolf,Sir John Fastolf,Sir John Fastolf,Hero Frankish Paladin
653,,Sir John Fastolf (Dead),Sir John Fastolf (Dead),Sir John Fastolf (Dead),
654,,Trail Smoke (Fire),Trail Smoke (Fire),Trail Smoke (Fire),
655,MOSQUE,Mosque,Mosque,Mosque,
656,,Projectile Mangonel (Primary),Projectile Mangonel (Primary),Projectile Mangonel (Primary),
657,,Projectile GP1,Projectile GP1,Projectile GP1,Rock
658,,Projectile Mangonel (Primary Fire),Projectile Mangonel (Primary Fire),Projectile Mangonel (Primary Fire),
659,,Gate (hori.),Gate (hori.),Gate (hori.),
660,,Fortified Gate (hori.),Fortified Gate (hori.),Fortified Gate (hori.),
661,,Gate,Gate,Gate,
662,,Fortified Gate,Fortified Gate,Fortified Gate,
663,,Gate,Gate,Gate,
664,,Fortified Gate,Fortified Gate,Fortified Gate,
665,,Gate,Gate,Gate,
666,,Fortified Gate,Fortified Gate,Fortified Gate,
667,,Gate (vert.),Gate (vert.),Gate (vert.),
668,,Fortified Gate (vert.),Fortified Gate (vert.),Fortified Gate (vert.),
669,,Gate,Gate,Gate,
670,,Fortified Gate,Fortified Gate,Fortified Gate,
671,,Gate,Gate,Gate,
672,,Fortified Gate,Fortified Gate,Fortified Gate,
673,,Gate,Gate,Gate,
674,,Fortified Gate,Fortified Gate,Fortified Gate,
675,,Onager (Dead),Onager (Dead),Onager (Dead),
676,,Projectile Fire Ship,Projectile Fire Ship,Projectile Fire Ship,
677,,Projectile Fire Ship Small,Projectile Fire Ship Small,Projectile Fire Ship Small,
678,REYNALD_DE_CHATILLON,Reynald de Chatillon,Reynald de Chatillon,Reynald de Chatillon,Hero Frankish Paladin
679,,Reynald de Chatillon (Dead),Reynald de Chatillon (Dead),Reynald de Chatillon (Dead),
680,MASTER_OF_THE_TEMPLAR,Master of the Templar,Master of the Templar,Master of the Templar,Hero Frankish Paladin
681,,Master of the Templar (Dead),Master of the Templar (Dead),Master of the Templar (Dead),
682,BAD_NEIGHBOR,Bad Neighbor,Bad Neighbor,Bad Neighbor,Hero Trebuchet
683,GODS_OWN_SLING,God's Own Sling,God's Own Sling,God's Own Sling,Hero Trebuchet
684,THE_ACCURSED_TOWER,The Accursed Tower,The Accursed Tower,The Accursed Tower,
685,THE_TOWER_OF_FLIES,The Tower of Flies,The Tower of Flies,The Tower of Flies,
686,ARCHERS_OF_THE_EYES,Archer of the Eyes,Archer of the Eyes,Archer of the Eyes,Hero Arbalest
687,,Archer of the Eyes (Dead),Archer of the Eyes (Dead),Archer of the Eyes (Dead),
688,PIECE_OF_THE_TRUE_CROSS,Piece of the True Cross,Piece of the True Cross,Piece of the True Cross,
689,PYRAMID,Pyramid,Pyramid,Pyramid,
690,DOME_OF_THE_ROCK,Dome of the Rock,Dome of the Rock,Dome of the Rock,
691,ELITE_CANNON_GALLEON,Elite Cannon Galleon,Elite Cannon Galleon,Elite Cannon Galleon,
692,BERSERK,Berserk,Berserk,Berserk,
693,,Berserk (Dead),Berserk (Dead),Berserk (Dead),
694,ELITE_BERSERK,Elite Berserk,Elite Berserk,Elite Berserk,
695,,Elite Berserk (Dead),Elite Berserk (Dead),Elite Berserk (Dead),
696,GREAT_PYRAMID,Great Pyramid,Great Pyramid,Great Pyramid,
697,,FLARE4,FLARE4,FLARE4,
698,SUBOTAI,Subotai,Subotai,Subotai,
699,,Subotai (Dead),Subotai (Dead),Subotai (Dead),
700,HUNTING_WOLF,Hunting Wolf,Hunting Wolf,Hunting Wolf,
701,,Hunting Wolf (Dead),Hunting Wolf (Dead),Hunting Wolf (Dead),
702,KUSHLUK,Kushluk,Kushluk,Kushluk,
703,,Topa Yupanqui,Kushluk (Dead),Kushluk (Dead),Hero Jaguar Warrior
704,SHAH,Shah,Shah,Shah,Hero King Oriental
705,DLC_COW,Cow A,Cow,Shah (Dead),Cow Black White
706,SABOTEUR,Saboteur,Saboteur,Saboteur,Hero Petard
707,ORNLU_THE_WOLF,Ornlu the Wolf,Ornlu the Wolf,Ornlu the Wolf,Hero Wolf
708,,Ornlu the Wolf (Dead),Ornlu the Wolf (Dead),Ornlu the Wolf (Dead),
709,CACTUS,Cactus,Cactus,Cactus,
710,SKELETON,Skeleton,Skeleton,Skeleton,
711,RUGS,Rugs,Rugs,Rugs,
712,YURT,Yurt A,Yurt,Yurt,
713,YURT2,Yurt B,Yurt 2,Yurt 2,
714,YURT3,Yurt C,Yurt 3,Yurt 3,
715,YURT4,Yurt D,Yurt 4,Yurt 4,
716,YURT5,Yurt E,Yurt 5,Yurt 5,
717,YURT6,Yurt F,Yurt 6,Yurt 6,
718,YURT7,Yurt G,Yurt 7,Yurt 7,
719,YURT8,Yurt H,Yurt 8,Yurt 8,
720,NINE_BANDS,Nine Bands,Nine Bands,Nine Bands,
721,SHIPWRECK,Shipwreck A,Shipwreck 1,Shipwreck 1,
722,SHIPWRECK2,Shipwreck B,Shipwreck 2,Shipwreck 2,
723,CRATER,Crater,Crater,Crater,
724,,Genitour (Dead),Genitour (Dead),Genitour (Dead),
725,JAGUAR_WARRIOR,Jaguar Warrior,Jaguar Warrior,Jaguar Warrior,
726,ELITE_JAGUAR_WARRIOR,Elite Jaguar Warrior,Elite Jaguar Warrior,Elite Jaguar Warrior,
727,,-,CRASH,CRASH,
728,,"Ice, Navigable",Ice,Ice,small patch of ice
729,GODS_OWN_SLING_PACKED,God's Own Sling (Packed),God's Own Sling (Packed),God's Own Sling (Packed),Hero Trebuchet
730,BAD_NEIGHBOR_PACKED,Bad Neighbor (Packed),Bad Neighbor (Packed),Bad Neighbor (Packed),Hero Trebuchet
731,GENGHIS_KHAN,Genghis Khan,Genghis Khan,Genghis Khan,Hero Mangudai
732,,King South-East Asia (Dead),Genghis Khan (Dead),Genghis Khan (Dead),
733,EMPEROR_IN_A_BARREL,Emperor in a Barrel,Emperor in a Barrel,Emperor in a Barrel,Hero Trade Cart Full
734,,Emperor in a Barrel (Dead),Emperor in a Barrel (Dead),Emperor in a Barrel (Dead),
735,,Packed Trebuchet (Dead),Packed Trebuchet (Dead),Packed Trebuchet (Dead),
736,,Projectile Mameluke,Projectile Mameluke,Projectile Mameluke,
737,,Bamboo Stump,Bamboo Stump,Bamboo Stump,
738,,Bridge A--Cracked,Bridge A--Cracked,Bridge A--Cracked,
739,,Bridge A--Broken Top,Bridge A--Broken Top,Bridge A--Broken Top,
740,,Bridge A--Broken Bottom,Bridge A--Broken Bottom,Bridge A--Broken Bottom,
741,,Bridge B--Cracked,Bridge B--Cracked,Bridge B--Cracked,
742,,Bridge B--Broken Top,Bridge B--Broken Top,Bridge B--Broken Top,
743,,Bridge B--Broken Bottom,Bridge B--Broken Bottom,Bridge B--Broken Bottom,
744,MOUNTAIN_3,Mountain 3,Mountain 3,Mountain 3,
745,MOUNTAIN_4,Mountain 4,Mountain 4,Mountain 4,
746,,Projectile Castle,Projectile Castle,Projectile Castle,
747,,Projectile Castle (Fire),Projectile Castle (Fire),Projectile Castle (Fire),
748,,Cobra Car,Cobra Car,Cobra Car,
749,,Cusi Yupanqui,Cobra Car (Dead),Cobra Car (Dead),Hero unit (unique graphic)
750,,Jaguar Warrior (Dead),Jaguar Warrior (Dead),Jaguar Warrior (Dead),
751,EAGLE_WARRIOR,Eagle Scout,Eagle Scout,Eagle Warrior,
752,ELITE_EAGLE_WARRIOR,Elite Eagle Warrior,Elite Eagle Warrior,Elite Eagle Warrior,
753,,Eagle Warrior,Eagle Warrior,CRASH,
754,,Eagle Warrior (Dead),Eagle Warrior (Dead),Eagle Warrior (Dead),
755,TARKAN,Tarkan,Tarkan,Tarkan,
756,,Tarkan (Dead),Tarkan (Dead),Tarkan (Dead),
757,ELITE_TARKAN,Elite Tarkan,Elite Tarkan,Elite Tarkan,
758,,Burned building,Burned building,CRASH,
759,,Huskarl,Huskarl,Huskarl,barracks version
760,,Huskarl (Dead),Huskarl (Dead),Huskarl (Dead),barracks version
761,,Elite Huskarl,Elite Huskarl,Elite Huskarl,barracks version
762,,Elite Huskarl (Dead),Elite Huskarl (Dead),Elite Huskarl (Dead),barracks version
763,PLUMED_ARCHER,Plumed Archer,Plumed Archer,Plumed Archer,
764,,Plumed Archer (Dead),Plumed Archer (Dead),Plumed Archer (Dead),
765,ELITE_PLUMED_ARCHER,Elite Plumed Archer,Elite Plumed Archer,Elite Plumed Archer,
766,,Elite Plumed Archer (Dead),Elite Plumed Archer (Dead),Elite Plumed Archer (Dead),
767,,Projectile Elite Cannon Galleon,Projectile Elite Cannon Galleon,Projectile Elite Cannon Galleon,
768,,Blue Tree,CRASH,CRASH,invisible in DE and can crash if you click on it
769,,-,CRASH,CRASH,
770,,-,CRASH,CRASH,
771,CONQUISTADOR,Conquistador,Conquistador,Conquistador,
772,,Conquistador (Dead),Conquistador (Dead),Conquistador (Dead),
773,ELITE_CONQUISTADOR,Elite Conquistador,Elite Conquistador,Elite Conquistador,
774,,Elite Conquistador (Dead),Elite Conquistador (Dead),Elite Conquistador (Dead),
775,MISSIONARY,Missionary,Missionary,Missionary,
776,,Missionary (Dead),Missionary (Dead),Missionary (Dead),
777,ATTILA_THE_HUN,Attila the Hun,Attila the Hun,Attila the Hun,
